Time,Steering,SignalStatus
2025-06-02T16:19:19.037600,-0.13608035445213318,No Signal
2025-06-02T16:19:19.062630,-0.23164400607347485,No Signal
2025-06-02T16:19:19.109782,-0.29823115870356554,No Signal
2025-06-02T16:19:19.156304,-0.34484216554462904,No Signal
2025-06-02T16:19:19.202659,-0.37729369390457856,No Signal
2025-06-02T16:19:19.248953,-0.40000976375654335,No Signal
2025-06-02T16:19:19.294449,-0.41591101265291863,No Signal
2025-06-02T16:19:19.340481,-0.42701021446226384,No Signal
2025-06-02T16:19:19.387703,-0.4347796557288054,No Signal
2025-06-02T16:19:19.434624,-0.44002729133352425,No Signal
2025-06-02T16:19:19.481257,-0.4437006362568274,No Signal
2025-06-02T16:19:19.525887,-0.4462719777031396,No Signal
2025-06-02T16:19:19.559836,-0.4482882145208674,No Signal
2025-06-02T16:19:19.606785,-0.4496995802932769,No Signal
2025-06-02T16:19:19.653022,-0.4506875363339635,No Signal
2025-06-02T16:19:19.699955,-0.45137910556244415,No Signal
2025-06-02T16:19:19.745901,-0.45186320402238067,No Signal
2025-06-02T16:19:19.792955,-0.45238459726779956,No Signal
2025-06-02T16:19:19.841004,-0.4527495725395928,No Signal
2025-06-02T16:19:19.888364,-0.453465936969703,No Signal
2025-06-02T16:19:19.934254,-0.4539673920707801,No Signal
2025-06-02T16:19:19.981308,-0.45431841064153405,No Signal
2025-06-02T16:19:20.027881,-0.45456412364106186,No Signal
2025-06-02T16:19:20.074949,-0.45458264450572494,No Signal
2025-06-02T16:19:20.122491,-0.4542882056061406,No Signal
2025-06-02T16:19:20.170043,-0.45408209837643154,No Signal
2025-06-02T16:19:20.214600,-0.43725849538065487,No Signal
2025-06-02T16:19:20.247657,-0.4254819732836112,No Signal
2025-06-02T16:19:20.293216,-0.40477890991686355,No Signal
2025-06-02T16:19:20.340298,-0.3902867655601402,No Signal
2025-06-02T16:19:20.385541,-0.4140727449906279,No Signal
2025-06-02T16:19:20.433130,-0.41053356335726243,No Signal
2025-06-02T16:19:20.479731,-0.4080561362139067,No Signal
2025-06-02T16:19:20.527290,-0.48211752064050994,No Signal
2025-06-02T16:19:20.573840,-0.5,No Signal
2025-06-02T16:19:20.620753,-0.5,No Signal
2025-06-02T16:19:20.668078,-0.5,No Signal
2025-06-02T16:19:20.714640,-0.5,No Signal
2025-06-02T16:19:20.761262,-0.5,No Signal
2025-06-02T16:19:20.807033,-0.5,No Signal
2025-06-02T16:19:20.854890,-0.4516124263405799,No Signal
2025-06-02T16:19:20.900350,-0.41774112477898584,No Signal
2025-06-02T16:19:20.947885,-0.43008247213065615,No Signal
2025-06-02T16:19:20.993856,-0.43872141527682534,No Signal
2025-06-02T16:19:21.040902,-0.4171925046174227,No Signal
2025-06-02T16:19:21.088017,-0.4021222671558409,No Signal
2025-06-02T16:19:21.134732,-0.33983961457838263,No Signal
2025-06-02T16:19:21.181702,-0.2962417577741618,No Signal
2025-06-02T16:19:21.244410,-0.284519636757836,No Signal
2025-06-02T16:19:21.291487,-0.2763141520464079,No Signal
2025-06-02T16:19:21.337698,-0.3019320248912334,No Signal
2025-06-02T16:19:21.384526,-0.31986453588261127,No Signal
2025-06-02T16:19:21.430040,-0.4185131631177439,No Signal
2025-06-02T16:19:21.476879,-0.45200631860069845,No Signal
2025-06-02T16:19:21.523036,-0.4754515274387666,No Signal
2025-06-02T16:19:21.570567,-0.35623551039675355,No Signal
2025-06-02T16:19:21.617336,-0.2727842984673444,No Signal
2025-06-02T16:19:21.664485,-0.20759571728894557,No Signal
2025-06-02T16:19:21.710547,-0.16196371046406638,No Signal
2025-06-02T16:19:21.758129,-0.1495434650470001,No Signal
2025-06-02T16:19:21.805710,-0.14084929325505374,No Signal
2025-06-02T16:19:21.853128,-0.14622658112473286,No Signal
2025-06-02T16:19:21.900467,-0.2083848427551875,No Signal
2025-06-02T16:19:21.947314,-0.25189562589650577,No Signal
2025-06-02T16:19:21.992861,-0.22302751631048973,No Signal
2025-06-02T16:19:22.040437,-0.20281983960027852,No Signal
2025-06-02T16:19:22.087137,-0.17160743583091845,No Signal
2025-06-02T16:19:22.133853,-0.1497587531923664,No Signal
2025-06-02T16:19:22.196235,-0.13768888057108608,No Signal
2025-06-02T16:19:22.242960,-0.1666819870828104,No Signal
2025-06-02T16:19:22.289186,-0.1869771616410174,No Signal
2025-06-02T16:19:22.351787,-0.20238973853247075,No Signal
2025-06-02T16:19:22.399091,-0.21317854235648806,No Signal
2025-06-02T16:19:22.445189,-0.20789746924793506,No Signal
2025-06-02T16:19:22.491371,-0.20420071807194795,No Signal
2025-06-02T16:19:22.538732,-0.20775877129219303,No Signal
2025-06-02T16:19:22.584869,-0.2102494085463646,No Signal
2025-06-02T16:19:22.631367,-0.2119928546242847,No Signal
2025-06-02T16:19:22.678974,-0.25207770995746587,No Signal
2025-06-02T16:19:22.725709,-0.28013710869069275,No Signal
2025-06-02T16:19:22.773062,-0.2997786878039515,No Signal
2025-06-02T16:19:22.819886,-0.3835616787218107,No Signal
2025-06-02T16:19:22.867708,-0.4422097723643121,No Signal
2025-06-02T16:19:22.913826,-0.4857493092290655,No Signal
2025-06-02T16:19:22.977418,-0.5,No Signal
2025-06-02T16:19:23.041029,-0.5,No Signal
2025-06-02T16:19:23.103141,-0.5,No Signal
2025-06-02T16:19:23.150402,-0.4413968868553638,No Signal
2025-06-02T16:19:23.197365,-0.5,No Signal
2025-06-02T16:19:23.244063,-0.5,No Signal
2025-06-02T16:19:23.290988,-0.5,No Signal
2025-06-02T16:19:23.353953,-0.4014455121010541,No Signal
2025-06-02T16:19:23.416756,-0.44573192436248055,No Signal
2025-06-02T16:19:23.463949,-0.4767324129454791,No Signal
2025-06-02T16:19:23.511185,-0.36221474450565866,No Signal
2025-06-02T16:19:23.557103,-0.3139834071617945,No Signal
2025-06-02T16:19:23.604578,-0.28022147102108963,No Signal
2025-06-02T16:19:23.651147,-0.2803201781517859,No Signal
2025-06-02T16:19:23.697707,-0.2803892731432733,No Signal
2025-06-02T16:19:23.744614,-0.2850184223637215,No Signal
2025-06-02T16:19:23.791074,-0.2882588268180353,No Signal
2025-06-02T16:19:23.853769,-0.3157256198527181,No Signal
2025-06-02T16:19:23.900370,-0.348532522153977,No Signal
2025-06-02T16:19:23.946665,-0.37149735376485826,No Signal
2025-06-02T16:19:23.993656,-0.35838132758611485,No Signal
2025-06-02T16:19:24.039758,-0.3492001092609945,No Signal
2025-06-02T16:19:24.086966,-0.3319387804542013,No Signal
2025-06-02T16:19:24.148889,-0.3198558502894461,No Signal
2025-06-02T16:19:24.210795,-0.31258221797161034,No Signal
2025-06-02T16:19:24.258465,-0.30749067534912533,No Signal
2025-06-02T16:19:24.304668,-0.3029808150871221,No Signal
2025-06-02T16:19:24.351729,-0.2998239129037198,No Signal
2025-06-02T16:19:24.398975,-0.2976140813753382,No Signal
2025-06-02T16:19:24.446039,-0.2960671993054711,No Signal
2025-06-02T16:19:24.493088,-0.29498438185656406,No Signal
2025-06-02T16:19:24.539660,-0.29422640964232916,No Signal
2025-06-02T16:19:24.587864,-0.29369582909236475,No Signal
2025-06-02T16:19:24.635118,-0.2933244227073897,No Signal
2025-06-02T16:19:24.682756,-0.2930644382379071,No Signal
2025-06-02T16:19:24.730671,-0.2928824491092693,No Signal
2025-06-02T16:19:24.776898,-0.2927550567192228,No Signal
2025-06-02T16:19:24.824544,-0.2926658820461903,No Signal
2025-06-02T16:19:24.871256,-0.2926034597750676,No Signal
2025-06-02T16:19:24.918360,-0.2925597641852816,No Signal
2025-06-02T16:19:24.965002,-0.29252917727243144,No Signal
2025-06-02T16:19:25.011864,-0.29250776643343634,No Signal
2025-06-02T16:19:25.058619,-0.2924927788461398,No Signal
2025-06-02T16:19:25.104816,-0.2924822875350322,No Signal
2025-06-02T16:19:25.151558,-0.29247494361725684,No Signal
2025-06-02T16:19:25.198641,-0.2924698028748141,No Signal
2025-06-02T16:19:25.245122,-0.2924662043551042,No Signal
2025-06-02T16:19:25.291625,-0.2924636853913073,No Signal
2025-06-02T16:19:25.354418,-0.2924619221166494,No Signal
2025-06-02T16:19:25.401471,-0.29246068782438894,No Signal
2025-06-02T16:19:25.446533,-0.2924598238198066,No Signal
2025-06-02T16:19:25.494099,-0.29245921901659894,No Signal
2025-06-02T16:19:25.540336,-0.2924587956543536,No Signal
2025-06-02T16:19:25.587379,-0.2924584993007818,No Signal
2025-06-02T16:19:25.634876,-0.29245829185328165,No Signal
2025-06-02T16:19:25.681916,-0.29245814664003145,No Signal
2025-06-02T16:19:25.728503,-0.29245804499075634,No Signal
2025-06-02T16:19:25.775809,-0.29245797383626376,No Signal
2025-06-02T16:19:25.822105,-0.29245792402811893,No Signal
2025-06-02T16:19:25.868199,-0.29245788916241755,No Signal
2025-06-02T16:19:25.914734,-0.2924578647564266,No Signal
2025-06-02T16:19:25.961688,-0.29245784767223293,No Signal
2025-06-02T16:19:26.007964,-0.29245783571329736,No Signal
2025-06-02T16:19:26.056253,-0.2924578273420425,No Signal
2025-06-02T16:19:26.094311,-0.2924578214821641,No Signal
2025-06-02T16:19:26.125863,-0.2924578173802492,No Signal
2025-06-02T16:19:26.164115,-0.29245781450890873,No Signal
2025-06-02T16:19:26.211586,-0.29245781249897046,No Signal
2025-06-02T16:19:26.259356,-0.29245781109201363,No Signal
2025-06-02T16:19:26.306759,-0.2924578101071439,No Signal
2025-06-02T16:19:26.352989,-0.292457809417735,No Signal
2025-06-02T16:19:26.400067,-0.29245780893514883,No Signal
2025-06-02T16:19:26.461538,-0.2924578085973385,No Signal
2025-06-02T16:19:26.508533,-0.2924578083608713,No Signal
2025-06-02T16:19:26.554735,-0.2924578081953443,No Signal
2025-06-02T16:19:26.600902,-0.2924578080794753,No Signal
2025-06-02T16:19:26.646876,-0.292457807998367,No Signal
2025-06-02T16:19:26.694705,-0.29245780794159126,No Signal
2025-06-02T16:19:26.741694,-0.29245780790184817,No Signal
2025-06-02T16:19:26.781574,-0.2924578078740281,No Signal
2025-06-02T16:19:26.814650,-0.292457807854554,No Signal
2025-06-02T16:19:26.851076,-0.2924578078409221,No Signal
2025-06-02T16:19:26.897340,-0.29245780783137987,No Signal
2025-06-02T16:19:26.941966,-0.2924578078247002,No Signal
2025-06-02T16:19:26.982977,-0.2924578078200245,No Signal
2025-06-02T16:19:27.019062,-0.29245780781675146,No Signal
2025-06-02T16:19:27.044116,-0.2924578078144604,No Signal
2025-06-02T16:19:27.083526,-0.2924578078128566,No Signal
2025-06-02T16:19:27.129239,-0.29245780781173397,No Signal
2025-06-02T16:19:27.174850,-0.2924578078109481,No Signal
2025-06-02T16:19:27.222896,-0.292457807810398,No Signal
2025-06-02T16:19:27.269466,-0.2924578078100129,No Signal
2025-06-02T16:19:27.316689,-0.29245780780974334,No Signal
2025-06-02T16:19:27.364040,-0.29245780780955466,No Signal
2025-06-02T16:19:27.410086,-0.2924578078094226,No Signal
2025-06-02T16:19:27.452008,-0.2924578078093302,No Signal
2025-06-02T16:19:27.481550,-0.29245780780926545,No Signal
2025-06-02T16:19:27.519583,-0.29245780780922015,No Signal
2025-06-02T16:19:27.549089,-0.2924578078091884,No Signal
2025-06-02T16:19:27.595823,-0.2924578078091662,No Signal
2025-06-02T16:19:27.644075,-0.29245780780915065,No Signal
2025-06-02T16:19:27.691495,-0.29245780780913977,No Signal
2025-06-02T16:19:27.738271,-0.29245780780913216,No Signal
2025-06-02T16:19:27.785213,-0.2924578078091268,No Signal
2025-06-02T16:19:27.831233,-0.29245780780912306,No Signal
2025-06-02T16:19:27.875511,-0.2924578078091205,No Signal
2025-06-02T16:19:27.908102,-0.2924578078091187,No Signal
2025-06-02T16:19:27.956442,-0.29245780780911745,No Signal
2025-06-02T16:19:28.000480,-0.29245780780911657,No Signal
2025-06-02T16:19:28.034684,-0.2924578078091159,No Signal
2025-06-02T16:19:28.081055,-0.2924578078091155,No Signal
2025-06-02T16:19:28.129137,-0.2924578078091151,No Signal
2025-06-02T16:19:28.175925,-0.29245780780911496,No Signal
2025-06-02T16:19:28.223073,-0.2924578078091148,No Signal
2025-06-02T16:19:28.270404,-0.2924578078091147,No Signal
2025-06-02T16:19:28.317661,-0.29245780780911457,No Signal
2025-06-02T16:19:28.363891,-0.2924578078091145,No Signal
2025-06-02T16:19:28.407616,-0.2924578078091145,No Signal
2025-06-02T16:19:28.440680,-0.2924578078091145,No Signal
2025-06-02T16:19:28.486252,-0.2924578078091145,No Signal
2025-06-02T16:19:28.519795,-0.2924578078091145,No Signal
2025-06-02T16:19:28.566688,-0.2924578078091145,No Signal
2025-06-02T16:19:28.613109,-0.2924578078091145,No Signal
2025-06-02T16:19:28.659959,-0.2924578078091145,No Signal
2025-06-02T16:19:28.722664,-0.2924578078091145,No Signal
2025-06-02T16:19:28.769958,-0.2924578078091145,No Signal
2025-06-02T16:19:28.817507,-0.2924578078091145,No Signal
2025-06-02T16:19:28.865083,-0.2924578078091145,No Signal
2025-06-02T16:19:28.911895,-0.2924578078091145,No Signal
2025-06-02T16:19:28.960005,-0.2924578078091145,No Signal
2025-06-02T16:19:29.021809,-0.2924578078091145,No Signal
2025-06-02T16:19:29.068498,-0.2924578078091145,No Signal
2025-06-02T16:19:29.115923,-0.2924578078091145,No Signal
2025-06-02T16:19:29.163232,-0.2924578078091145,No Signal
2025-06-02T16:19:29.210845,-0.2924578078091145,No Signal
2025-06-02T16:19:29.258981,-0.2924578078091145,No Signal
2025-06-02T16:19:29.304430,-0.2924578078091145,No Signal
2025-06-02T16:19:29.337503,-0.2924578078091145,No Signal
2025-06-02T16:19:29.383065,-0.2924578078091145,No Signal
2025-06-02T16:19:29.430582,-0.2924578078091145,No Signal
2025-06-02T16:19:29.476912,-0.2924578078091145,No Signal
2025-06-02T16:19:29.524143,-0.2924578078091145,No Signal
